Date,Open,High,Low,Close
03/02/2022,"4,322.56","4,401.48","4,322.56","4,386.54"
03/01/2022,"4,363.14","4,378.45","4,279.54","4,306.26"
02/28/2022,"4,354.17","4,388.84","4,315.12","4,373.94"
02/25/2022,"4,298.38","4,385.34","4,286.83","4,384.65"
02/24/2022,"4,155.77","4,294.73","4,114.65","4,288.70"
02/23/2022,"4,324.93","4,341.51","4,221.51","4,225.50"
02/22/2022,"4,332.74","4,362.12","4,267.11","4,304.76"
02/18/2022,"4,384.57","4,394.60","4,327.22","4,348.87"
02/17/2022,"4,456.06","4,456.06","4,373.81","4,380.26"
02/16/2022,"4,455.75","4,489.55","4,429.68","4,475.01"
02/15/2022,"4,429.28","4,472.77","4,429.28","4,471.07"
02/14/2022,"4,412.61","4,426.22","4,364.84","4,401.67"
02/11/2022,"4,506.27","4,526.33","4,401.41","4,418.64"
02/10/2022,"4,553.24","4,588.92","4,484.31","4,504.08"
02/09/2022,"4,547.00","4,590.03","4,547.00","4,587.18"
02/08/2022,"4,480.02","4,531.32","4,465.40","4,521.54"
02/07/2022,"4,505.75","4,521.86","4,471.47","4,483.87"
02/04/2022,"4,482.79","4,539.66","4,451.50","4,500.53"
02/03/2022,"4,535.41","4,542.88","4,470.39","4,477.44"
02/02/2022,"4,566.39","4,595.31","4,544.32","4,589.38"
02/01/2022,"4,519.57","4,550.49","4,483.53","4,546.54"
01/31/2022,"4,431.79","4,516.89","4,414.02","4,515.55"
