"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2022","4,288.70","4,155.77","4,294.73","4,114.65","-","1.50%"
"Feb 23, 2022","4,225.50","4,324.93","4,341.51","4,221.51","-","-1.84%"
"Feb 22, 2022","4,304.74","4,332.74","4,362.12","4,267.11","-","-1.01%"
"Feb 18, 2022","4,348.87","4,384.57","4,394.60","4,327.22","-","-0.72%"
"Feb 17, 2022","4,380.26","4,456.06","4,456.06","4,373.81","-","-2.12%"
"Feb 16, 2022","4,475.01","4,455.75","4,489.55","4,429.68","-","0.09%"
"Feb 15, 2022","4,471.07","4,429.28","4,472.77","4,429.28","-","1.58%"
"Feb 14, 2022","4,401.67","4,412.61","4,426.22","4,364.84","-","-0.38%"
"Feb 11, 2022","4,418.64","4,506.27","4,526.33","4,401.41","-","-1.90%"
"Feb 10, 2022","4,504.06","4,553.24","4,588.92","4,484.31","-","-1.81%"
"Feb 09, 2022","4,587.18","4,547.00","4,590.03","4,547.00","-","1.45%"
"Feb 08, 2022","4,521.54","4,480.02","4,531.32","4,465.40","-","0.84%"
"Feb 07, 2022","4,483.87","4,505.75","4,521.86","4,471.47","-","-0.37%"
"Feb 04, 2022","4,500.54","4,482.79","4,539.66","4,451.50","-","0.52%"
"Feb 03, 2022","4,477.44","4,535.41","4,542.88","4,470.39","-","-2.44%"
"Feb 02, 2022","4,589.32","4,566.39","4,595.31","4,544.32","-","0.94%"
"Feb 01, 2022","4,546.54","4,519.57","4,550.49","4,483.53","-","0.69%"
"Jan 31, 2022","4,515.55","4,431.79","4,516.89","4,414.02","-","1.89%"
"Jan 28, 2022","4,431.85","4,336.19","4,432.72","4,292.46","-","2.43%"
"Jan 27, 2022","4,326.50","4,380.58","4,428.74","4,309.50","-","-0.54%"
"Jan 26, 2022","4,349.93","4,408.43","4,453.23","4,304.80","-","-0.15%"
"Jan 25, 2022","4,356.45","4,366.64","4,411.01","4,287.11","-","-1.22%"
